"","date","region","cases","deaths"
"89",2020-02-11,"arizona",1,0
"90",2020-02-11,"california",7,0
"91",2020-02-11,"illinois",2,0
"92",2020-02-11,"massachusetts",1,0
"93",2020-02-11,"washington",1,0
"94",2020-02-11,"wisconsin",1,0
"95",2020-02-12,"arizona",1,0
"96",2020-02-12,"california",7,0
"97",2020-02-12,"illinois",2,0
"98",2020-02-12,"massachusetts",1,0
"99",2020-02-12,"texas",1,0
"100",2020-02-12,"washington",1,0
"101",2020-02-12,"wisconsin",1,0
"102",2020-02-13,"arizona",1,0
"103",2020-02-13,"california",7,0
"104",2020-02-13,"illinois",2,0
"105",2020-02-13,"massachusetts",1,0
"106",2020-02-13,"texas",2,0
"107",2020-02-13,"washington",1,0
"108",2020-02-13,"wisconsin",1,0
"109",2020-02-14,"arizona",1,0
"110",2020-02-14,"california",7,0
"111",2020-02-14,"illinois",2,0
"112",2020-02-14,"massachusetts",1,0
"113",2020-02-14,"texas",2,0
"114",2020-02-14,"washington",1,0
"115",2020-02-14,"wisconsin",1,0
"116",2020-02-15,"arizona",1,0
"117",2020-02-15,"california",7,0
"118",2020-02-15,"illinois",2,0
"119",2020-02-15,"massachusetts",1,0
"120",2020-02-15,"texas",2,0
"121",2020-02-15,"washington",1,0
"122",2020-02-15,"wisconsin",1,0
"123",2020-02-16,"arizona",1,0
"124",2020-02-16,"california",7,0
"125",2020-02-16,"illinois",2,0
"126",2020-02-16,"massachusetts",1,0
"127",2020-02-16,"texas",2,0
"128",2020-02-16,"washington",1,0
"129",2020-02-16,"wisconsin",1,0
"130",2020-02-17,"arizona",1,0
"131",2020-02-17,"california",7,0
"132",2020-02-17,"illinois",2,0
"133",2020-02-17,"massachusetts",1,0
"134",2020-02-17,"nebraska",10,0
"135",2020-02-17,"texas",2,0
"136",2020-02-17,"washington",1,0
"137",2020-02-17,"wisconsin",1,0
"138",2020-02-18,"arizona",1,0
"139",2020-02-18,"california",7,0
"140",2020-02-18,"illinois",2,0
"141",2020-02-18,"massachusetts",1,0
"142",2020-02-18,"nebraska",10,0
"143",2020-02-18,"texas",2,0
"144",2020-02-18,"washington",1,0
"145",2020-02-18,"wisconsin",1,0
"146",2020-02-19,"arizona",1,0
"147",2020-02-19,"california",7,0
"148",2020-02-19,"illinois",2,0
"149",2020-02-19,"massachusetts",1,0
"150",2020-02-19,"nebraska",10,0
"151",2020-02-19,"texas",2,0
"152",2020-02-19,"washington",1,0
"153",2020-02-19,"wisconsin",1,0
"154",2020-02-20,"arizona",1,0
"155",2020-02-20,"california",8,0
"156",2020-02-20,"illinois",2,0
"157",2020-02-20,"massachusetts",1,0
"158",2020-02-20,"nebraska",11,0
"159",2020-02-20,"texas",2,0
"160",2020-02-20,"washington",1,0
"161",2020-02-20,"wisconsin",1,0
"162",2020-02-21,"arizona",1,0
"163",2020-02-21,"california",9,0
"164",2020-02-21,"illinois",2,0
"165",2020-02-21,"massachusetts",1,0
"166",2020-02-21,"nebraska",11,0
"167",2020-02-21,"texas",4,0
"168",2020-02-21,"washington",1,0
"169",2020-02-21,"wisconsin",1,0
"170",2020-02-22,"arizona",1,0
"171",2020-02-22,"california",9,0
"172",2020-02-22,"illinois",2,0
"173",2020-02-22,"massachusetts",1,0
"174",2020-02-22,"nebraska",11,0
"175",2020-02-22,"texas",4,0
"176",2020-02-22,"washington",1,0
"177",2020-02-22,"wisconsin",1,0
"178",2020-02-23,"arizona",1,0
"179",2020-02-23,"california",9,0
"180",2020-02-23,"illinois",2,0
"181",2020-02-23,"massachusetts",1,0
"182",2020-02-23,"nebraska",11,0
"183",2020-02-23,"texas",4,0
"184",2020-02-23,"washington",1,0
"185",2020-02-23,"wisconsin",1,0
"186",2020-02-24,"arizona",1,0
"187",2020-02-24,"california",11,0
"188",2020-02-24,"illinois",2,0
"189",2020-02-24,"massachusetts",1,0
"190",2020-02-24,"nebraska",12,0
"191",2020-02-24,"texas",10,0
"192",2020-02-24,"washington",5,0
"193",2020-02-24,"wisconsin",1,0
"194",2020-02-25,"arizona",1,0
"195",2020-02-25,"california",11,0
"196",2020-02-25,"illinois",2,0
"197",2020-02-25,"massachusetts",1,0
"198",2020-02-25,"nebraska",13,0
"199",2020-02-25,"texas",10,0
"200",2020-02-25,"utah",1,0
"201",2020-02-25,"washington",5,0
"202",2020-02-25,"wisconsin",1,0
"203",2020-02-26,"arizona",1,0
"204",2020-02-26,"california",26,0
"205",2020-02-26,"illinois",2,0
"206",2020-02-26,"massachusetts",1,0
"207",2020-02-26,"nebraska",13,0
"208",2020-02-26,"texas",10,0
"209",2020-02-26,"utah",1,0
"210",2020-02-26,"washington",5,0
"211",2020-02-26,"wisconsin",1,0
"212",2020-02-27,"arizona",1,0
"213",2020-02-27,"california",26,0
"214",2020-02-27,"illinois",2,0
"215",2020-02-27,"massachusetts",1,0
"216",2020-02-27,"nebraska",13,0
"217",2020-02-27,"texas",10,0
"218",2020-02-27,"utah",1,0
"219",2020-02-27,"washington",5,0
"220",2020-02-27,"wisconsin",1,0
"221",2020-02-28,"arizona",1,0
"222",2020-02-28,"california",27,0
"223",2020-02-28,"illinois",2,0
"224",2020-02-28,"massachusetts",1,0
"225",2020-02-28,"nebraska",13,0
"226",2020-02-28,"oregon",1,0
"227",2020-02-28,"texas",11,0
"228",2020-02-28,"utah",1,0
"229",2020-02-28,"washington",7,0
"230",2020-02-28,"wisconsin",1,0
"231",2020-02-29,"arizona",1,0
"232",2020-02-29,"california",28,0
"233",2020-02-29,"illinois",3,0
"234",2020-02-29,"massachusetts",1,0
"235",2020-02-29,"nebraska",13,0
"236",2020-02-29,"oregon",1,0
"237",2020-02-29,"texas",11,0
"238",2020-02-29,"utah",1,0
"239",2020-02-29,"washington",10,1
"240",2020-02-29,"wisconsin",1,0
"241",2020-03-01,"arizona",1,0
"242",2020-03-01,"california",33,0
"243",2020-03-01,"florida",2,0
"244",2020-03-01,"illinois",3,0
"245",2020-03-01,"massachusetts",1,0
"246",2020-03-01,"nebraska",13,0
"247",2020-03-01,"new york",1,0
"248",2020-03-01,"oregon",2,0
"249",2020-03-01,"rhode island",2,0
"250",2020-03-01,"texas",11,0
"251",2020-03-01,"utah",1,0
"252",2020-03-01,"washington",17,3
"253",2020-03-01,"wisconsin",1,0
"254",2020-03-02,"arizona",1,0
"255",2020-03-02,"california",38,0
"256",2020-03-02,"florida",2,0
"257",2020-03-02,"georgia",2,0
"258",2020-03-02,"illinois",4,0
"259",2020-03-02,"massachusetts",2,0
"260",2020-03-02,"nebraska",13,0
"261",2020-03-02,"new hampshire",1,0
"262",2020-03-02,"new york",1,0
"263",2020-03-02,"oregon",2,0
"264",2020-03-02,"rhode island",2,0
"265",2020-03-02,"texas",11,0
"266",2020-03-02,"utah",1,0
"267",2020-03-02,"washington",23,6
"268",2020-03-02,"wisconsin",1,0
"269",2020-03-03,"arizona",2,0
"270",2020-03-03,"california",45,0
"271",2020-03-03,"florida",3,0
"272",2020-03-03,"georgia",2,0
"273",2020-03-03,"illinois",4,0
"274",2020-03-03,"massachusetts",2,0
"275",2020-03-03,"nebraska",13,0
"276",2020-03-03,"new hampshire",2,0
"277",2020-03-03,"new york",2,0
"278",2020-03-03,"north carolina",1,0
"279",2020-03-03,"oregon",2,0
"280",2020-03-03,"rhode island",2,0
"281",2020-03-03,"texas",11,0
"282",2020-03-03,"utah",1,0
"283",2020-03-03,"washington",32,10
"284",2020-03-03,"wisconsin",1,0
"285",2020-03-04,"arizona",2,0
"286",2020-03-04,"california",55,1
"287",2020-03-04,"florida",3,0
"288",2020-03-04,"georgia",2,0
"289",2020-03-04,"illinois",4,0
"290",2020-03-04,"massachusetts",2,0
"291",2020-03-04,"nebraska",13,0
"292",2020-03-04,"new hampshire",2,0
"293",2020-03-04,"new jersey",1,0
"294",2020-03-04,"new york",11,0
"295",2020-03-04,"north carolina",1,0
"296",2020-03-04,"oregon",2,0
"297",2020-03-04,"rhode island",2,0
"298",2020-03-04,"texas",12,0
"299",2020-03-04,"utah",1,0
"300",2020-03-04,"washington",47,11
"301",2020-03-04,"wisconsin",1,0
"302",2020-03-05,"arizona",2,0
"303",2020-03-05,"california",67,1
"304",2020-03-05,"colorado",2,0
"305",2020-03-05,"florida",4,0
"306",2020-03-05,"georgia",2,0
"307",2020-03-05,"illinois",5,0
"308",2020-03-05,"maryland",3,0
"309",2020-03-05,"massachusetts",3,0
"310",2020-03-05,"nebraska",13,0
"311",2020-03-05,"nevada",2,0
"312",2020-03-05,"new hampshire",2,0
"313",2020-03-05,"new jersey",2,0
"314",2020-03-05,"new york",22,0
"315",2020-03-05,"north carolina",1,0
"316",2020-03-05,"oregon",2,0
"317",2020-03-05,"rhode island",2,0
"318",2020-03-05,"tennessee",1,0
"319",2020-03-05,"texas",16,0
"320",2020-03-05,"utah",1,0
"321",2020-03-05,"washington",75,11
"322",2020-03-05,"wisconsin",1,0
"323",2020-03-06,"arizona",3,0
"324",2020-03-06,"california",81,1
"325",2020-03-06,"colorado",8,0
"326",2020-03-06,"florida",7,2
"327",2020-03-06,"georgia",3,0
"328",2020-03-06,"hawaii",1,0
"329",2020-03-06,"illinois",6,0
"330",2020-03-06,"indiana",1,0
"331",2020-03-06,"kentucky",1,0
"332",2020-03-06,"maryland",3,0
"333",2020-03-06,"massachusetts",8,0
"334",2020-03-06,"minnesota",1,0
"335",2020-03-06,"nebraska",14,0
"336",2020-03-06,"nevada",2,0
"337",2020-03-06,"new hampshire",2,0
"338",2020-03-06,"new jersey",4,0
"339",2020-03-06,"new york",44,0
"340",2020-03-06,"north carolina",2,0
"341",2020-03-06,"oklahoma",1,0
"342",2020-03-06,"oregon",2,0
"343",2020-03-06,"pennsylvania",2,0
"344",2020-03-06,"rhode island",3,0
"345",2020-03-06,"south carolina",2,0
"346",2020-03-06,"tennessee",1,0
"347",2020-03-06,"texas",19,0
"348",2020-03-06,"utah",3,0
"349",2020-03-06,"washington",86,12
"350",2020-03-06,"wisconsin",1,0
"351",2020-03-07,"arizona",5,0
"352",2020-03-07,"california",100,1
"353",2020-03-07,"colorado",8,0
"354",2020-03-07,"district of columbia",1,0
"355",2020-03-07,"florida",12,2
"356",2020-03-07,"georgia",7,0
"357",2020-03-07,"hawaii",1,0
"358",2020-03-07,"illinois",6,0
"359",2020-03-07,"indiana",1,0
"360",2020-03-07,"kansas",1,0
"361",2020-03-07,"kentucky",1,0
"362",2020-03-07,"maryland",3,0
"363",2020-03-07,"massachusetts",13,0
"364",2020-03-07,"minnesota",1,0
"365",2020-03-07,"missouri",1,0
"366",2020-03-07,"nebraska",14,0
"367",2020-03-07,"nevada",2,0
"368",2020-03-07,"new hampshire",4,0
"369",2020-03-07,"new jersey",4,0
"370",2020-03-07,"new york",89,0
"371",2020-03-07,"north carolina",2,0
"372",2020-03-07,"oklahoma",1,0
"373",2020-03-07,"oregon",6,0
"374",2020-03-07,"pennsylvania",4,0
"375",2020-03-07,"rhode island",3,0
"376",2020-03-07,"south carolina",2,0
"377",2020-03-07,"tennessee",1,0
"378",2020-03-07,"texas",19,0
"379",2020-03-07,"utah",3,0
"380",2020-03-07,"vermont",1,0
"381",2020-03-07,"virginia",1,0
"382",2020-03-07,"washington",110,16
"383",2020-03-07,"wisconsin",1,0
"384",2020-03-08,"arizona",5,0
"385",2020-03-08,"california",112,1
"386",2020-03-08,"colorado",8,0
"387",2020-03-08,"connecticut",1,0
"388",2020-03-08,"district of columbia",1,0
"389",2020-03-08,"florida",13,2
"390",2020-03-08,"georgia",11,0
"391",2020-03-08,"hawaii",2,0
"392",2020-03-08,"illinois",7,0
"393",2020-03-08,"indiana",2,0
"394",2020-03-08,"iowa",3,0
"395",2020-03-08,"kansas",1,0
"396",2020-03-08,"kentucky",4,0
"397",2020-03-08,"maryland",5,0
"398",2020-03-08,"massachusetts",28,0
"399",2020-03-08,"minnesota",2,0
"400",2020-03-08,"missouri",1,0
"401",2020-03-08,"nebraska",16,0
"402",2020-03-08,"nevada",4,0
"403",2020-03-08,"new hampshire",4,0
"404",2020-03-08,"new jersey",6,0
"405",2020-03-08,"new york",106,0
"406",2020-03-08,"north carolina",2,0
"407",2020-03-08,"oklahoma",1,0
"408",2020-03-08,"oregon",13,0
"409",2020-03-08,"pennsylvania",6,0
"410",2020-03-08,"rhode island",3,0
"411",2020-03-08,"south carolina",6,0
"412",2020-03-08,"tennessee",3,0
"413",2020-03-08,"texas",23,0
"414",2020-03-08,"utah",3,0
"415",2020-03-08,"vermont",1,0
"416",2020-03-08,"virginia",2,0
"417",2020-03-08,"washington",141,19
"418",2020-03-08,"wisconsin",1,0
"419",2020-03-09,"arizona",6,0
"420",2020-03-09,"california",172,2
"421",2020-03-09,"colorado",12,0
"422",2020-03-09,"connecticut",2,0
"423",2020-03-09,"district of columbia",4,0
"424",2020-03-09,"florida",14,2
"425",2020-03-09,"georgia",17,0
"426",2020-03-09,"hawaii",2,0
"427",2020-03-09,"illinois",11,0
"428",2020-03-09,"indiana",4,0
"429",2020-03-09,"iowa",8,0
"430",2020-03-09,"kansas",1,0
"431",2020-03-09,"kentucky",5,0
"432",2020-03-09,"louisiana",1,0
"433",2020-03-09,"maryland",6,0
"434",2020-03-09,"massachusetts",41,0
"435",2020-03-09,"minnesota",2,0
"436",2020-03-09,"missouri",1,0
"437",2020-03-09,"nebraska",16,0
"438",2020-03-09,"nevada",4,0
"439",2020-03-09,"new hampshire",4,0
"440",2020-03-09,"new jersey",11,0
"441",2020-03-09,"new york",142,0
"442",2020-03-09,"north carolina",7,0
"443",2020-03-09,"ohio",3,0
"444",2020-03-09,"oklahoma",1,0
"445",2020-03-09,"oregon",13,0
"446",2020-03-09,"pennsylvania",10,0
"447",2020-03-09,"rhode island",3,0
"448",2020-03-09,"south carolina",7,0
"449",2020-03-09,"tennessee",4,0
"450",2020-03-09,"texas",24,0
"451",2020-03-09,"utah",3,0
"452",2020-03-09,"vermont",1,0
"453",2020-03-09,"virginia",5,0
"454",2020-03-09,"washington",179,22
"455",2020-03-09,"wisconsin",2,0
"456",2020-03-10,"arizona",6,0
"457",2020-03-10,"california",179,3
"458",2020-03-10,"colorado",17,0
"459",2020-03-10,"connecticut",2,0
"460",2020-03-10,"district of columbia",4,0
"461",2020-03-10,"florida",23,2
"462",2020-03-10,"georgia",22,0
"463",2020-03-10,"hawaii",2,0
"464",2020-03-10,"illinois",19,0
"465",2020-03-10,"indiana",6,0
"466",2020-03-10,"iowa",13,0
"467",2020-03-10,"kansas",1,0
"468",2020-03-10,"kentucky",7,0
"469",2020-03-10,"louisiana",6,0
"470",2020-03-10,"maryland",9,0
"471",2020-03-10,"massachusetts",92,0
"472",2020-03-10,"michigan",2,0
"473",2020-03-10,"minnesota",3,0
"474",2020-03-10,"missouri",1,0
"475",2020-03-10,"nebraska",17,0
"476",2020-03-10,"nevada",4,0
"477",2020-03-10,"new hampshire",5,0
"478",2020-03-10,"new jersey",15,1
"479",2020-03-10,"new york",173,0
"480",2020-03-10,"north carolina",7,0
"481",2020-03-10,"ohio",3,0
"482",2020-03-10,"oklahoma",2,0
"483",2020-03-10,"oregon",14,0
"484",2020-03-10,"pennsylvania",12,0
"485",2020-03-10,"rhode island",5,0
"486",2020-03-10,"south carolina",9,0
"487",2020-03-10,"south dakota",5,1
"488",2020-03-10,"tennessee",7,0
"489",2020-03-10,"texas",31,0
"490",2020-03-10,"utah",4,0
"491",2020-03-10,"vermont",1,0
"492",2020-03-10,"virginia",8,0
"493",2020-03-10,"washington",279,24
"494",2020-03-10,"wisconsin",3,0
"495",2020-03-11,"arizona",9,0
"496",2020-03-11,"arkansas",1,0
"497",2020-03-11,"california",202,4
"498",2020-03-11,"colorado",34,0
"499",2020-03-11,"connecticut",3,0
"500",2020-03-11,"delaware",1,0
"501",2020-03-11,"district of columbia",10,0
"502",2020-03-11,"florida",26,2
"503",2020-03-11,"georgia",31,0
"504",2020-03-11,"hawaii",2,0
"505",2020-03-11,"illinois",25,0
"506",2020-03-11,"indiana",11,0
"507",2020-03-11,"iowa",14,0
"508",2020-03-11,"kansas",1,0
"509",2020-03-11,"kentucky",7,0
"510",2020-03-11,"louisiana",13,0
"511",2020-03-11,"maryland",13,0
"512",2020-03-11,"massachusetts",95,0
"513",2020-03-11,"michigan",2,0
"514",2020-03-11,"minnesota",5,0
"515",2020-03-11,"mississippi",1,0
"516",2020-03-11,"missouri",1,0
"517",2020-03-11,"nebraska",23,0
"518",2020-03-11,"nevada",7,0
"519",2020-03-11,"new hampshire",5,0
"520",2020-03-11,"new jersey",23,1
"521",2020-03-11,"new mexico",4,0
"522",2020-03-11,"new york",217,0
"523",2020-03-11,"north carolina",8,0
"524",2020-03-11,"north dakota",1,0
"525",2020-03-11,"ohio",4,0
"526",2020-03-11,"oklahoma",2,0
"527",2020-03-11,"oregon",20,0
"528",2020-03-11,"pennsylvania",16,0
"529",2020-03-11,"rhode island",5,0
"530",2020-03-11,"south carolina",10,0
"531",2020-03-11,"south dakota",8,1
"532",2020-03-11,"tennessee",8,0
"533",2020-03-11,"texas",33,0
"534",2020-03-11,"utah",5,0
"535",2020-03-11,"vermont",2,0
"536",2020-03-11,"virginia",10,0
"537",2020-03-11,"washington",338,29
"538",2020-03-11,"wisconsin",6,0
"539",2020-03-11,"wyoming",1,0
"540",2020-03-12,"alaska",1,0
"541",2020-03-12,"arizona",9,0
"542",2020-03-12,"arkansas",6,0
"543",2020-03-12,"california",252,4
"544",2020-03-12,"colorado",49,1
"545",2020-03-12,"connecticut",6,0
"546",2020-03-12,"delaware",4,0
"547",2020-03-12,"district of columbia",10,0
"548",2020-03-12,"florida",46,2
"549",2020-03-12,"georgia",31,1
"550",2020-03-12,"hawaii",2,0
"551",2020-03-12,"illinois",32,0
"552",2020-03-12,"indiana",12,0
"553",2020-03-12,"iowa",16,0
"554",2020-03-12,"kansas",5,1
"555",2020-03-12,"kentucky",11,0
"556",2020-03-12,"louisiana",14,0
"557",2020-03-12,"maine",1,0
"558",2020-03-12,"maryland",13,0
"559",2020-03-12,"massachusetts",108,0
"560",2020-03-12,"michigan",12,0
"561",2020-03-12,"minnesota",9,0
"562",2020-03-12,"mississippi",1,0
"563",2020-03-12,"missouri",2,0
"564",2020-03-12,"nebraska",24,0
"565",2020-03-12,"nevada",11,0
"566",2020-03-12,"new hampshire",6,0
"567",2020-03-12,"new jersey",29,1
"568",2020-03-12,"new mexico",6,0
"569",2020-03-12,"new york",326,0
"570",2020-03-12,"north carolina",16,0
"571",2020-03-12,"north dakota",1,0
"572",2020-03-12,"ohio",5,0
"573",2020-03-12,"oklahoma",2,0
"574",2020-03-12,"oregon",30,0
"575",2020-03-12,"pennsylvania",22,0
"576",2020-03-12,"rhode island",5,0
"577",2020-03-12,"south carolina",12,0
"578",2020-03-12,"south dakota",8,1
"579",2020-03-12,"tennessee",18,0
"580",2020-03-12,"texas",41,0
"581",2020-03-12,"utah",7,0
"582",2020-03-12,"vermont",2,0
"583",2020-03-12,"virginia",17,0
"584",2020-03-12,"washington",419,32
"585",2020-03-12,"wisconsin",8,0
"586",2020-03-12,"wyoming",1,0
"587",2020-03-13,"alabama",6,0
"588",2020-03-13,"alaska",1,0
"589",2020-03-13,"arizona",9,0
"590",2020-03-13,"arkansas",7,0
"591",2020-03-13,"california",320,5
"592",2020-03-13,"colorado",78,2
"593",2020-03-13,"connecticut",11,0
"594",2020-03-13,"delaware",4,0
"595",2020-03-13,"district of columbia",10,0
"596",2020-03-13,"florida",70,2
"597",2020-03-13,"georgia",41,1
"598",2020-03-13,"hawaii",2,0
"599",2020-03-13,"idaho",1,0
"600",2020-03-13,"illinois",46,0
"601",2020-03-13,"indiana",12,0
"602",2020-03-13,"iowa",17,0
"603",2020-03-13,"kansas",6,1
"604",2020-03-13,"kentucky",11,0
"605",2020-03-13,"louisiana",36,0
"606",2020-03-13,"maine",2,0
"607",2020-03-13,"maryland",18,0
"608",2020-03-13,"massachusetts",123,0
"609",2020-03-13,"michigan",25,0
"610",2020-03-13,"minnesota",14,0
"611",2020-03-13,"mississippi",6,0
"612",2020-03-13,"missouri",4,0
"613",2020-03-13,"montana",4,0
"614",2020-03-13,"nebraska",27,0
"615",2020-03-13,"nevada",19,0
"616",2020-03-13,"new hampshire",7,0
"617",2020-03-13,"new jersey",50,1
"618",2020-03-13,"new mexico",10,0
"619",2020-03-13,"new york",421,0
"620",2020-03-13,"north carolina",18,0
"621",2020-03-13,"north dakota",1,0
"622",2020-03-13,"ohio",13,0
"623",2020-03-13,"oklahoma",3,0
"624",2020-03-13,"oregon",30,0
"625",2020-03-13,"pennsylvania",41,0
"626",2020-03-13,"puerto rico",3,0
"627",2020-03-13,"rhode island",20,0
"628",2020-03-13,"south carolina",13,0
"629",2020-03-13,"south dakota",9,1
"630",2020-03-13,"tennessee",26,0
"631",2020-03-13,"texas",58,0
"632",2020-03-13,"utah",7,0
"633",2020-03-13,"vermont",2,0
"634",2020-03-13,"virginia",30,0
"635",2020-03-13,"washington",511,37
"636",2020-03-13,"wisconsin",19,0
"637",2020-03-13,"wyoming",2,0
"638",2020-03-14,"alabama",12,0
"639",2020-03-14,"alaska",1,0
"640",2020-03-14,"arizona",12,0
"641",2020-03-14,"arkansas",9,0
"642",2020-03-14,"california",381,5
"643",2020-03-14,"colorado",103,2
"644",2020-03-14,"connecticut",20,0
"645",2020-03-14,"delaware",4,0
"646",2020-03-14,"district of columbia",16,0
"647",2020-03-14,"florida",70,3
"648",2020-03-14,"georgia",65,1
"649",2020-03-14,"hawaii",4,0
"650",2020-03-14,"idaho",5,0
"651",2020-03-14,"illinois",66,0
"652",2020-03-14,"indiana",15,0
"653",2020-03-14,"iowa",18,0
"654",2020-03-14,"kansas",8,1
"655",2020-03-14,"kentucky",18,0
"656",2020-03-14,"louisiana",77,1
"657",2020-03-14,"maine",3,0
"658",2020-03-14,"maryland",27,0
"659",2020-03-14,"massachusetts",138,0
"660",2020-03-14,"michigan",33,0
"661",2020-03-14,"minnesota",21,0
"662",2020-03-14,"mississippi",6,0
"663",2020-03-14,"missouri",5,0
"664",2020-03-14,"montana",6,0
"665",2020-03-14,"nebraska",29,0
"666",2020-03-14,"nevada",21,0
"667",2020-03-14,"new hampshire",7,0
"668",2020-03-14,"new jersey",75,2
"669",2020-03-14,"new mexico",13,0
"670",2020-03-14,"new york",610,2
"671",2020-03-14,"north carolina",25,0
"672",2020-03-14,"north dakota",1,0
"673",2020-03-14,"ohio",26,0
"674",2020-03-14,"oklahoma",4,0
"675",2020-03-14,"oregon",36,1
"676",2020-03-14,"pennsylvania",47,0
"677",2020-03-14,"puerto rico",4,0
"678",2020-03-14,"rhode island",20,0
"679",2020-03-14,"south carolina",19,0
"680",2020-03-14,"south dakota",9,1
"681",2020-03-14,"tennessee",32,0
"682",2020-03-14,"texas",69,0
"683",2020-03-14,"utah",21,0
"684",2020-03-14,"vermont",5,0
"685",2020-03-14,"virgin islands",1,0
"686",2020-03-14,"virginia",42,1
"687",2020-03-14,"washington",609,40
"688",2020-03-14,"wisconsin",27,0
"689",2020-03-14,"wyoming",3,0
"690",2020-03-15,"alabama",23,0
"691",2020-03-15,"alaska",1,0
"692",2020-03-15,"arizona",13,0
"693",2020-03-15,"arkansas",16,0
"694",2020-03-15,"california",478,6
"695",2020-03-15,"colorado",136,2
"696",2020-03-15,"connecticut",26,0
"697",2020-03-15,"delaware",7,0
"698",2020-03-15,"district of columbia",17,0
"699",2020-03-15,"florida",109,3
"700",2020-03-15,"georgia",97,1
"701",2020-03-15,"guam",3,0
"702",2020-03-15,"hawaii",7,0
"703",2020-03-15,"idaho",5,0
"704",2020-03-15,"illinois",94,0
"705",2020-03-15,"indiana",19,0
"706",2020-03-15,"iowa",22,0
"707",2020-03-15,"kansas",9,1
"708",2020-03-15,"kentucky",21,0
"709",2020-03-15,"louisiana",103,2
"710",2020-03-15,"maine",12,0
"711",2020-03-15,"maryland",32,0
"712",2020-03-15,"massachusetts",164,0
"713",2020-03-15,"michigan",53,0
"714",2020-03-15,"minnesota",35,0
"715",2020-03-15,"mississippi",10,0
"716",2020-03-15,"missouri",5,0
"717",2020-03-15,"montana",6,0
"718",2020-03-15,"nebraska",31,0
"719",2020-03-15,"nevada",26,0
"720",2020-03-15,"new hampshire",13,0
"721",2020-03-15,"new jersey",98,2
"722",2020-03-15,"new mexico",17,0
"723",2020-03-15,"new york",732,6
"724",2020-03-15,"north carolina",32,0
"725",2020-03-15,"north dakota",1,0
"726",2020-03-15,"ohio",37,0
